#,Date Posted,Time Posted,Author,Post Text,Retweets,Favorites,Source,Overall Sentiment,Postive,Neutral,Negative
560,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
561,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
562,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
563,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
564,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
565,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
566,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
567,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
568,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
569,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,3,1,Twitter for iPhone,Neutral,25%,50.10%,25%
570,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,3,1,Twitter for iPhone,Neutral,25%,50.10%,25%
571,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,3,1,Twitter for iPhone,Neutral,25%,50.10%,25%
572,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,3,1,Twitter for iPhone,Neutral,25%,50.10%,25%
573,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,3,1,Twitter for iPhone,Neutral,25%,50.10%,25%
574,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,3,1,Twitter for iPhone,Neutral,25%,50.10%,25%
575,10/3/2022,4:41 PM,@zetta9090,RT @LadyoftheWood99: A son’s grief. #QueenElizabethII #queensfuneral #family https://t.co/cGuBsG1QGa,9,37,Twitter Web App,Negative,25%,25.10%,50%
576,10/3/2022,4:28 PM,@YungGun51423567,"Do mitochondria have thylakoids? No, only chloroplasts have thylakoids. That’s where photosynthesis happens.… https://t.co/aPrjT9oALN",0,1,Twitter for iPhone,Neutral,33.30%,33.40%,33.30%
